sku,vid,pid,status,preco,peso_efetivo_lb,lam,perfil_atual,destino,titulo
OATE-43538,44351224676455,7715685138535,ACTIVE,32.55,1.17,0.0359,General profile,Standard,Oatey® 43538 4 in. ABS Closet Flange Replacement
PERF-CI000033658017,44350817534055,7715475456103,DRAFT,109.97,5,0.04547,General profile,Standard,"HydraPro 2"" IPS SDR11 ID Chamfer Tool w/Gauge"
RECT-97003,44351290409063,7715724525671,ACTIVE,206.16,7.28,0.03531,General profile,Standard,"RectorSeal Clean Check 97003 Extendable Backwater Valve, Installs Descretely, Pl"
RECT-97050,44351290572903,7715724689511,ACTIVE,46.5,2.55,0.05486,General profile,Standard,"RectorSeal Hubsett 97050 Test Coupling, Holds Pressure, No Tools Needed, Plumbin"
RECT-97052,44351290605671,7715724722279,ACTIVE,45.44,2.55,0.05614,General profile,Standard,"RectorSeal Hubsett 97052 Test Coupling, Holds Pressure, No Tools Needed, Plumbin"
S&DT-BURN-202EN-GO,44353436614759,7716786667623,ACTIVE,1648.08,202.0,0.12257,General profile,Freight,"US Boiler (Burnham) Scratched or Dented, Series 2 Gas Boiler 38,000 Elct Ign"
SAMM-8007957,44351362007143,7715764797543,ACTIVE,2.56,6.1,2.38192,General profile,Standard,"Sammy Screws 8007957 Sammys® 3/8"" Vertical Threaded Rod Anchor - GST 10 with a 1"
SAMM-8008957,44351362072679,7715764863079,ACTIVE,2.56,6.1,2.38192,General profile,Standard,"Sammy Screws 8008957 Sammys® 3/8"" Vertical Threaded Rod Anchor - GST 20 with a 2"
SIOU-240-455206C32,44351374721127,7715772006503,ACTIVE,19.38,4.24,0.21874,General profile,Standard,"Sioux Chief 240-455206C32 1-1/4"" x 6"" Slip Joint Ext T/P Chr 20Ga"
SIOU-240-456212C16,44351374753895,7715772039271,ACTIVE,31.45,7.84,0.24923,General profile,Standard,"Sioux Chief 240-456212C16 1-1/2"" x 12"" Slip Joint Ext T/P Chrome 20Ga"
SIOU-240-705212C25,44351374852199,7715772137575,ACTIVE,17.92,4.24,0.23656,General profile,Standard,"Sioux Chief 240-705212C25 1-1/4"" x 12"" Threaded Both Ends Tube 20Ga"
SIOU-250-11A,44351374950503,7715772235879,ACTIVE,23.54,2.0,0.08481,General profile,Standard,"Sioux Chief 250-11A 1-1/2"" ABS Turbovent with Adapter"
SIOU-250-12A,44351375016039,7715772301415,ACTIVE,24.63,2.32,0.09439,General profile,Standard,"Sioux Chief 250-12A 2"" ABS Turbovent with Adapter"
SIOU-390-50164,44351375343719,7715772596327,ACTIVE,7.68,4.22,0.54971,General profile,Standard,Sioux Chief 390-50164 Replacement Blade for Kleen Cut PVC Pipe Cutter
SIOU-442-2W,44351375933543,7715772727399,ACTIVE,2.15,2.91,1.35534,General profile,Standard,Sioux Chief 442-2W Smart Cap Closet Bolt Caps White
SIOU-490-10341,44351376031847,7715772825703,ACTIVE,2.94,0.47,0.16026,General profile,Standard,Sioux Chief 490-10341 Mansfield Flush Valve Gasket New Style
SIOU-521-725,44351377080423,7715773415527,ACTIVE,17.92,0.95,0.05293,General profile,Standard,"Sioux Chief 521-725 Carrier Bracket 1"" CTS hole"
SIOU-521-728,44351377113191,7715773448295,ACTIVE,17.92,0.95,0.05293,General profile,Standard,"Sioux Chief 521-728 Carrier Bracket 1"" CTS notch for prefab"
SIOU-521-729,44351377145959,7715773481063,ACTIVE,17.92,1.08,0.06042,General profile,Standard,"Sioux Chief 521-729 Carrier Bracket 1"" CTS double hole"
SIOU-550-2121,44351378554983,7715774234727,ACTIVE,3.72,10.7,2.87699,General profile,Standard,"Sioux Chief 550-2121 1/2"" CTS to 2"" IPS Universal Strut Clamp"
