ven,lb,skus,tamanhos,free,preco_max,valor_free,exemplos
HeatLink,13.14,37,9,7,1776.68,6745.82,HLNK-20345 | HLNK-20335 | HLNK-20154 | HLNK-20905
Dayton,1.0,7,12,7,919.5,4977.0,DAYT-DXUH2416 | DAYT-DXUH2816 | DAYT-DCFU2816 | DAYT-DPC1202010-1
Navien,4.0,15,4,7,1689.6,3814.61,NAVI-30018664A | NAVI-30018659A | NAVI-GXXX001901 | NAVI-GXXX001893
Milwaukee Valve,1.83,10,6,7,716.16,2553.56,MLWV-BA-475B-300 | MLWV-BA-400S-A200 | MLWV-BA-475B-212 | MLWV-BA-400-A200
Milwaukee Valve,2.06,10,5,7,498.31,1307.41,MLWV-BA-485B-212 | MLWV-BA-450-A112 | MLWV-BA-485B-200 | MLWV-BA-485B-112
Legend Valve,2.76,16,5,7,246.1,1188.91,LEGE-105-508NL | LEGE-105-518NL | LEGE-105-507NL | LEGE-105-517NL
Resideo,1.8,7,4,7,188.81,956.51,HONE-VR8345H4555/U | HONE-DS06-102-SUS-LF/U | HONE-DS06-102-SUT-LF/U | HONE-UMV500-LF/U
Mueller Streamline,1.35,9,6,7,227.66,864.84,COPF-DWV-300-MA-C | CFCB-150.200-TEE | COPF-200.125.200-TEE-C | COPF-200.075.200-TEE-C
Zurn Wilkins,0.6,7,5,7,230.85,799.67,WILK-RK34-975XLC | WILK-RK14-975XLC | WILK-RK14-975XL | WILK-P1000AXL-125C
Milwaukee Tools,0.06,8,4,7,271.05,510.77,MILW-48-73-8430C | MILW-48-73-8435C | MILW-48-25-5325 | MILW-48-22-3711
Mueller Streamline,0.67,9,4,7,84.59,478.01,COPF-DWV-200.150.200-SANT-C | CFCB-200.100-TEE | COPF-250.150-CPL-C | COPF-250.150-FTR-C
Mueller Streamline,0.29,10,5,7,77.5,308.64,COPF-050-UFA-LF | CPPF-075-DE90 | CFCB-150.050-TEE | CFCB-100.050.100-TEE
Mueller Streamline,0.35,15,7,7,91.61,288.12,COPF-075-UMA-LF | CFCB-125.100-TEE | CPPF-075.100-TEE | COPF-125.100-TEE-C
Legend Valve,0.39,9,6,7,94.16,281.42,LEGE-302-309NL | LEGE-302-300NL | LEGE-302-304NL | LEGE-302-303NL
Mueller Streamline,0.3,13,6,7,45.06,251.56,COPF-125.075.075-TEE-C | COPF-125.100.075-TEE-C | CPPF-050-UNI | COPF-125.100-MA-C
Mueller Streamline,0.32,18,8,7,53.8,251.12,COPF-100.018.100-BBT-C | COPF-125-FTGFA-C | COPF-075-DE90FA-C | COPF-DWV-200-ST45-C
BrassCraft,0.32,8,7,7,53.88,195.01,BRAS-CSSB21-36 | BRAS-CSSC21-36 | BRAS-1-36AC | BRAS-CSSC21-24
Sioux Chief,0.16,11,7,7,46.63,181.43,SIOU-240-466216C16 | SIOU-240-456212C16 | SIOU-290-20514C04 | SIOU-240-465115C16
Sammy Screws,0.07,7,6,7,42.73,150.93,SAMM-8152910 | SAMM-8113910 | SAMM-8114910 | SAMM-8150922
Legend Valve,0.28,7,5,7,17.17,94.3,LEGE-101-909 | LEGE-101-905 | LEGE-101-908 | LEGE-101-959
BrassCraft,0.09,7,4,7,16.61,64.34,CMPF-025-NVLV-NL | CMPF-058.038-MA-NL | CMPF-050-FA-NL | CMPF-050-NUT-CP
Charlotte Pipe,0.08,18,6,7,11.83,38.76,ABSF-200-FTGMA-A | CPVP-050-10-V | CPVC-150.050-BSH-V | CPVC-125.050-BSH-V
