variant_id,product_id,sku,titulo,peso_antigo_lb,peso_novo_lb
44350363271271,7715256795239,CMPF-025-UNI-NL,"BrassCraft 62-4X 1/4"" Compression Union",0.05,0.049
44350364090471,7715257614439,CMPF-025.018-MA-NL,"BrassCraft 68-4-2X 1/4"" x 1/8"" Compression Male Adapter",0.05,0.036
44350365663335,7715258368103,CMPF-038-BINS-NL,"BrassCraft 63PT-6X 3/8"" O.D. Tube Insert for Plastic and Nylon Tubing",0.05,0.002
44350365696103,7715258400871,CMPF-038-CAP-NL,"BrassCraft 61CP-6X 3/8"" O.D. Compression Cap",0.05,0.021
44350365892711,7715258597479,CMPF-038-MA-NL,"BrassCraft 68-6-6X 3/8"" Compression Male Adapter Drill Through (No Tube Stop)",0.07,0.068
44350365991015,7715258695783,CMPF-038-NUT,"BrassCraft 61-6 3/8"" O.D. Compression Nut",0.05,0.02
44350366056551,7715258761319,CMPF-038-SLV,"BrassCraft 3/8"" OD Ferrule (Sleeve) 60-6",0.05,0.01
44350366187623,7715258892391,CMPF-038-TEE-NL,"BrassCraft 64-6X 3/8"" Compression Tee",0.15,0.146
44350366220391,7715258925159,CMPF-038-UNI-NL,"BrassCraft 62-6X 3/8"" Compression Union",0.07,0.074
44350366253159,7715258957927,CMPF-038.025-90MA-NL,"BrassCraft 69-6-4X 3/8"" x 1/4"" Compression Elbow - 90° Compression x MIP",0.09,0.087
44350366416999,7715259121767,CMPF-038.025-TEE-NL,"BrassCraft 64-6-6-4X 3/8"" x 1/4"" Compression Tee",0.13,0.134
44350366449767,7715259154535,CMPF-038.025-UNI-NL,"BrassCraft 62-6-4X 3/8"" x 1/4"" Compression Union",0.07,0.068
44350366580839,7715259285607,CMPF-050-CAP-NL,"BrassCraft 61CP-8X 1/2"" O.D. Compression Cap",0.05,0.036
44350366613607,7715259318375,CMPF-050-FA-NL,"BrassCraft 66-8-8X 1/2"" Compression Female Adapter",0.09,0.093
44350366744679,7715259449447,CMPF-050-SLV,"BrassCraft 1/2"" OD Ferrule (Sleeve) 60-8",0.05,0.01
44350366810215,7715259514983,CMPF-050.038-MA-NL,"BrassCraft 68-8-6X 1/2"" x 3/8"" Compression Male Adapter",0.09,0.088
44350366875751,7715259580519,CMPF-050.075-MA-NL,"BrassCraft 68-8-12X 1/2"" x 3/4"" Compression Male Adapter",0.18,0.184
44350366941287,7715259646055,CMPF-058-SLV,"BrassCraft 5/8"" OD Ferrule (Sleeve) 60-10",0.05,0.01
44350367826023,7715260006503,EASF-EFWC-034C-1010-18,"BrassCraft 3/4"" x 3/4"" Water Heater Supplies - 18"", FIP x FIP, Copper EFWC-034C-1010-18",0.52,0.0
44350367858791,7715260039271,EASF-EFWC-034C-1010-24,"BrassCraft 3/4"" x 3/4"" Water Heater Supplies - 24"", FIP x FIP, Copper EFWC-034C-1010-24",0.52,0.0
