sku,vendor,ptype,price,lb_loja,teto_lb,handle,variant_id,product_id
HONE-392431/U,Resideo,Gas Ignition Components,95.79,0.2,3.23,ignitor-sensor-assembly-used-with-y8610-kits,44351298797671,7715729834087
PASC-3085,Pasco,Black Iron Nipples,94.5,2.0,3.18,nipple-box-2-x-close-6,44351265636455,7715710500967
HONE-Q345U1005/U,Resideo,Gas Ignition Components,94.38,0.2,3.18,universal-intermittent-pilot-burner,44351322062951,7715741761639
SHAR-UXLBV35,SharkBite,Push Fittings,93.99,0.33,3.17,1-1-4-sharkbite-quarter-turn-ball-valve-ptc-x-ptc,44351372099687,7715770368103
HONE-EA79A1004,Resideo,Air Vents,93.48,0.2,3.15,industrial-automatic-air-vent,44351311118439,7715736617063
DIAB-DS0612BW25,Diablo,Sawzall & Hackzall Blades,93.38,0.35,3.15,6-6-12tpi-bi-metal-reciprocating-saw-blades-for-nail-embedded-wood-25-pack,44350624333927,7715388686439
MILW-48-00-8706,Milwaukee Tools,Sawzall & Hackzall Blades,92.43,0.35,3.11,9-7-11-tpi-wrecker-sawzall-blade-for-multi-material-25-pack,44350919311463,7715540369511
DELT-U4993-CZ,Delta,Shower Arms,92.1,1.0,3.1,delta-universal-shower-arm-flange-champagne-bronze,44350589436007,7715378135143
DIAB-DS0908CFA3,Diablo,Sawzall & Hackzall Blades,91.7,0.35,3.09,9-8tpi-amped-steel-demon-carbide-teeth-reciprocating-saw-blades-for-thick-metal-3-pack,44350624858215,7715389210727
SHAR-PROD3810,SharkBite,Miscellaneous Tools,91.48,0.33,3.08,3-8-1-pro-disconnect-tool,44351367348327,7715767681127
DIAB-DHS2500CF,Diablo,Hole Saw Bits & Accessories,91.3,0.73,3.08,2-1-2-steel-demon-carbide-teeth-hole-cutter,44350598709351,7715382165607
TACO-426-3,Taco Comfort Solutions,Air Vents,90.55,0.2,3.05,air-vent-1-4-npt-hy-vent,44353379958887,7716735451239
DIAB-DHS4625CT,Diablo,Carbide Hole Saws,90.34,0.24,3.04,4-5-8-carbide-teeth-hole-saw-for-wood-and-metal,44350609162343,7715384492135
HONE-Q313U3000/U,Resideo,Thermocouples & Thermopiles,90.06,1.0,3.04,multi-system-thermopile-generator,44351320752231,7715741040743
FRAN-WD-900-MBK,Franke,Flanges & Stoppers,88.81,1.0,2.99,franke-colorline-replacement-waste-disposer-flange-for-kitchen-sink-in-matte-black,44350703075431,7715418112103
HONE-Q314U1001/U,Resideo,Gas Ignition Components,88.48,0.2,2.98,universal-standing-pilot-burner,44351321210983,7715741204583
SSTN-200-10,Legend Valve,Stainless Steel Nipples,88.32,0.35,2.98,2-x-10-304-stainless-steel-pipe-nipple-schedule-40-mnpt-x-mnpt,44350883299431,7715517366375
MUST-14K,E. L Mustee & Sons,Laundry and Utility Sinks,87.81,1.0,2.96,e-l-mustee-sons-utilitub-co-polypure-drop-in-sink-white-single-bowl-sinks-23-x-25-x-33,44350687150183,7715405987943
DIAB-DHS4500CT,Diablo,Carbide Hole Saws,87.47,0.24,2.95,4-1-2-carbide-teeth-hole-saw-for-wood-and-metal,44350608867431,7715384426599
PASC-4818,Pasco,Miscellaneous Tools,87.07,0.33,2.93,1-1-4-pipe-tap,44351272452199,7715715154023
MOUN-MT200EV/BRS,Mountain Plumbing Products,Flanges & Stoppers,86.78,1.0,2.92,classic-complete-stopper-strainer-unit-waste-disposer-trim-brushed-stainless,44350997102695,7715594043495
PASC-3084,Pasco,Black Iron Nipples,86.66,2.0,2.92,nipple-box-1-1-2-x-close-6,44351265570919,7715710435431
GROH-40.536000,Grohe,Soap or Lotion Dispensers,86.56,1.0,2.92,contemporary-soap-dispenser-in-grohe-chrome,44350727716967,7715434332263
GROH-40.689GN1,Grohe,Paper Holders & Brush Sets,86.56,1.0,2.92,paper-holder,44350728142951,7715434463335
PASC-51500,Pasco,Miscellaneous Tools,86.43,0.33,2.91,1-2-to-1-quick-sweat-kit-new,44351274582119,7715716366439
HONE-Q3400A1016/U,Resideo,Gas Ignition Components,85.0,0.2,2.86,24-inch-igniter-flame-rod-assembly,44351321636967,7715741335655
DIAB-DHS3625CTR,Diablo,Carbide Hole Saws,83.64,0.24,2.82,diablo-3-5-8-demo-demon-carbide-teeth-rough-in-hole-saw,44350603559015,7715383312487
ASRP-7381231-200.2240A,American Standard,Trip Levers,82.26,2.0,2.77,left-hand-trip-lever-oil-rubbed-bronze,44350272667751,7715224256615
MILW-48-00-8784,Milwaukee Tools,Sawzall & Hackzall Blades,82.19,0.35,2.77,6-18-tpi-torch-sawzall-blade-for-medium-metal-25-pack,44350919344231,7715540402279
MOUN-MT741/CPB,Mountain Plumbing Products,Decorative Drainage,81.9,1.0,2.76,ez-click-soft-touch-round-lavatory-drain-with-overflow-polished-chrome,44350998872167,7715595386983
SHAR-UXL0254,SharkBite,Push Fittings,81.64,0.33,2.75,2-sharkbite-90-elbow-ptc-x-ptc,44351370690663,7715769942119
SSTN-150-12,Legend Valve,Stainless Steel Nipples,80.73,0.35,2.72,1-1-2-x-12-304-stainless-steel-pipe-nipple-schedule-40-mnpt-x-mnpt,44350882906215,7715516973159
AMST-3520.000.002,American Standard,Wall-Mount Sinks,79.89,1.0,2.69,ravenna-semi-pedestal-sink-integral-towel-bar-chrome,44350242914407,7715211477095
HONE-Q345A1321/U,Resideo,Gas Ignition Components,79.64,0.2,2.68,combination-intermittent-pilot-burner-and-ignitor-with-right-tip,44351322030183,7715741728871
DIAB-DHS1750CF,Diablo,Hole Saw Bits & Accessories,78.47,0.73,2.64,1-3-4-steel-demon-carbide-teeth-hole-cutter,44350598217831,7715381674087
DIAB-DS0909CGPA3,Diablo,Sawzall & Hackzall Blades,78.25,0.35,2.64,9-6-9tpi-amped-demo-demon-carbide-teeth-reciprocating-saw-blades-for-general-purpose-cuts-3-pack,44350624956519,7715389309031
HONE-394801-30/U,Resideo,Gas Ignition Components,78.24,0.2,2.64,30-inch-ignition-cable-assembly-with-a-straight-boot,44351299354727,7715729932391
MILW-48-00-5372,Milwaukee Tools,Sawzall & Hackzall Blades,77.61,0.35,2.62,9-wrecker-with-nitrus-carbide-sawzall-blade-for-multi-material-3-pack,44350918262887,7715539320935
DIAB-DS1209CGP3,Diablo,Sawzall & Hackzall Blades,77.53,0.35,2.61,12-6-9tpi-demo-demon-carbide-teeth-reciprocating-saw-blades-for-general-purpose-cuts-3-pack,44350636294247,7715391406183
MILW-49-10-9112,Milwaukee Tools,Oscillating Blades & Accessories,77.53,0.73,2.61,6-piece-universal-fit-oscillating-multi-tool-blade-set,44350936547431,7715553968231
